,CPM,logFC,signif,name,col,Richess,logCPM
3488,369.7011083,0.417116719,TRUE,s__Streptococcus_salivarius,unfavor-type,Different abundant taxa,8.530215558
3489,1.374665287,-0.497469968,TRUE,s__Rhizobium_sp._Kim5,favor-type,Different abundant taxa,0.459080384
3490,1.157997495,-0.31644619,TRUE,s__Vibrio_owensii,favor-type,Different abundant taxa,0.211632132
3491,0.84143538,-0.46176278,TRUE,s__Erwinia_sp._QL-Z3,Non_sig,Different abundant taxa,-0.249075615
3492,1.637824357,-0.196979239,TRUE,s__Frankia_casuarinae,favor-type,Different abundant taxa,0.711780648
3493,1.116162076,-0.262300856,TRUE,s__Streptomyces_sp._Tu_2975,favor-type,Different abundant taxa,0.158546533
3494,0.898179616,-0.444512775,TRUE,s__Shewanella_sp._FJAT-53532,Non_sig,Different abundant taxa,-0.154924113
3495,1.75203476,-0.27601297,TRUE,s__Microbacterium_sp._Y-01,favor-type,Different abundant taxa,0.809031398
3496,1.083370063,-0.2518423,TRUE,s__Streptomyces_griseochromogenes,favor-type,Different abundant taxa,0.11552613
3497,5.678405932,-0.127353874,TRUE,s__Paenibacillus_cellulosilyticus,favor-type,Different abundant taxa,2.505485987
3498,0.502135918,-0.367265875,TRUE,s__Pseudomonas_sp._LG1E9,Non_sig,Different abundant taxa,-0.99385017
3499,0.299894587,-0.444911477,TRUE,s__Acetobacter_pomorum,Non_sig,Different abundant taxa,-1.737472613
3500,1453.366178,0.202969945,TRUE,s__Pusillibacter_faecalis,unfavor-type,Different abundant taxa,10.50518252
3501,1.449337221,0.223692708,TRUE,s__Bradyrhizobium_sp._CCBAU_51753,unfavor-type,Different abundant taxa,0.535393309
3502,1.172028334,-0.456396435,TRUE,s__Cellulosimicrobium_sp._JZ28,favor-type,Different abundant taxa,0.229007448
3503,0.633845282,1.381470933,TRUE,s__Citrobacter_sp._LUTT5,Non_sig,Different abundant taxa,-0.657797366
3504,864.8534896,0.315606288,TRUE,s__Phocaeicola_salanitronis,unfavor-type,Different abundant taxa,9.756311944
3505,1.344146935,-0.232052939,TRUE,s__Falsirhodobacter_sp._PG104,favor-type,Different abundant taxa,0.426690854
3506,2.47010529,-0.228727475,TRUE,s__Comamonas_kerstersii,favor-type,Different abundant taxa,1.304572539
3507,0.958999789,0.278931865,TRUE,s__Providencia_sneebia,Non_sig,Different abundant taxa,-0.060397597
3508,2.62857745,-0.279326974,TRUE,s__Yersinia_frederiksenii,favor-type,Different abundant taxa,1.394282244
3509,7.185079086,-0.137683437,TRUE,s__Desulfitobacterium_dichloroeliminans,favor-type,Different abundant taxa,2.845004036
3510,0.620462272,-0.42192072,TRUE,s__Ureaplasma_urealyticum,Non_sig,Different abundant taxa,-0.688584607
3511,1.909946959,-0.281037484,TRUE,s__Chryseobacterium_sp._DH-B6,favor-type,Different abundant taxa,0.933532574
3512,5.588898704,-0.185958701,TRUE,s__Pectobacterium_carotovorum,favor-type,Different abundant taxa,2.482564027
3513,1.395438379,-0.234445765,TRUE,s__Pseudomonas_psychrophila,favor-type,Different abundant taxa,0.480718418
3514,0.345755421,-0.498425347,TRUE,s__Acinetobacter_sp._WCHA55,Non_sig,Different abundant taxa,-1.532176223
3515,0.928802215,-0.294931609,TRUE,s__Planctopirus_limnophila,Non_sig,Different abundant taxa,-0.106556681
3516,3.51795604,-0.169970973,TRUE,s__Magnetospirillum_magneticum,favor-type,Different abundant taxa,1.814737455
3517,1.27994541,-0.223257338,TRUE,s__Paracoccus_jeotgali,favor-type,Different abundant taxa,0.356082281
3518,3.411689025,0.267105238,TRUE,s__Actinomyces_naeslundii,unfavor-type,Different abundant taxa,1.770486151
3519,1.092318378,-0.254479888,TRUE,s__Streptomyces_sp._SM18,favor-type,Different abundant taxa,0.12739342
3520,2.788131175,0.229145117,TRUE,s__Mixta_theicola,unfavor-type,Different abundant taxa,1.479298438
3521,3.738874917,-0.168380507,TRUE,s__Paludibacterium_paludis,favor-type,Different abundant taxa,1.902604207
3522,0.380887827,-0.398945648,TRUE,s__Colwellia_sp._Arc7-D,Non_sig,Different abundant taxa,-1.392561912
3523,14.93312975,0.149275004,TRUE,s__Petrocella_atlantisensis,unfavor-type,Different abundant taxa,3.900444659
3524,1.629554094,-0.271694812,TRUE,s__Weissella_koreensis,favor-type,Different abundant taxa,0.704477244
