bacter_tsne1,bacter_tsne2,Group
1.390202348,16.25767252,favor-type
-8.573801542,4.797936521,unfavor-type
15.15641214,-3.603870013,favor-type
-1.079752595,-1.223589691,favor-type
-11.15682446,-12.22167008,unfavor-type
9.334012758,-3.946876799,favor-type
-8.055203875,4.799516846,unfavor-type
14.05580944,1.774825182,favor-type
12.70858944,5.735542631,unfavor-type
2.211930629,-10.6430615,unfavor-type
5.44295676,6.308287567,favor-type
-2.967647507,-5.422609571,favor-type
-1.104264472,-1.329060364,favor-type
-1.472111358,-5.959932595,favor-type
-8.45098796,-1.842221927,unfavor-type
-1.077745853,10.81302229,favor-type
13.73645714,3.093959302,favor-type
-15.25987922,-13.90665421,unfavor-type
-0.515547411,10.52680293,favor-type
-8.091277403,-1.582164746,unfavor-type
1.680728383,13.83260137,unfavor-type
-4.821316639,-3.326392485,favor-type
-9.689928854,-2.371067199,favor-type
-5.502061333,5.788159227,unfavor-type
-4.281964345,3.008757946,unfavor-type
