Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15373146	76.9	11.95	2.29	0.07	5.51	3.17	0.11	0.155396618985696
SRR15373147	74.16	13.03	1.56	0.03	6.37	4.78	0.07	0.175701186623517
SRR15373148	75.28	14.6	1.44	0.06	5.6	2.71	0.31	0.19394261424017
SRR15373149	73.76	15.78	1.56	0.05	4.63	3.94	0.28	0.213937093275488
SRR15373150	74.53	12.6	1.52	0.01	7.25	3.74	0.35	0.169059439152019
SRR15373151	71.03	14.38	2.08	0.13	8.19	3.9	0.29	0.202449669153879
SRR15373152	72.69	15.78	1.17	0.01	5.98	3.59	0.78	0.217086256706562
SRR15373153	73.7	12.82	1.34	0.04	6.99	4.83	0.28	0.173948439620081
SRR15373154	76.17	12.87	1.26	0.07	5.78	3.59	0.26	0.168964159117763
SRR15373155	77.69	12.1	1.92	0.11	4.03	3.95	0.2	0.155747200411893
SRR15373156	72.54	13.99	0.94	0.04	8.21	3.87	0.41	0.192859112213951
SRR15373157	73.45	14.09	0.75	0.01	5.63	5.54	0.53	0.191831177671886
SRR15373158	72.23	14.04	0.99	0.01	8.43	3.91	0.39	0.194379066869722
SRR15373159	76.38	12.22	2.51	0.1	4	4.63	0.16	0.159989526053941
SRR15373160	74.68	12.55	3.28	0.04	3.22	6.07	0.16	0.168050348152116
SRR15373161	75.36	13.62	1.91	0	5.55	3.35	0.21	0.180732484076433
SRR15373162	77.37	12.2	1.7	0.11	4.59	3.89	0.14	0.157683856792038
SRR15373163	71.62	12.74	1.57	0.04	9.74	4.06	0.23	0.177883272828819
SRR15373164	72.77	15.16	1.33	0.02	6.42	4.01	0.29	0.208327607530576
SRR15373165	71.42	13.33	1.21	0.07	9.01	4.57	0.39	0.186642397087651
SRR15373166	70.28	11.58	1.24	0.11	12.12	4.54	0.13	0.164769493454752
SRR15373167	71.34	15.32	1.43	0.12	7.52	3.98	0.29	0.214746285393888
SRR15373168	84.84	9.55	0.48	0.04	2.35	2.56	0.18	0.112564827911363
SRR15373169	67.7	16.02	1.51	0.03	9.24	5.04	0.46	0.236632200886263
SRR15373171	82.66	12.49	1.05	0	2.02	1.66	0.12	0.151100895233487
SRR15373172	68.75	13.85	1.29	0.1	12.16	3.66	0.19	0.201454545454545
SRR15373173	71.57	16.5	1.49	0.06	6.61	3.59	0.18	0.230543523822831
SRR15373174	71.58	15.92	0.88	0.11	7.82	3.36	0.33	0.222408493992735
SRR15373175	74.8	15.18	2.2	0.06	2.68	4.82	0.26	0.202941176470588
SRR15373176	69.8	13.72	1.27	0.06	10.75	4.02	0.38	0.196561604584527
SRR15373177	70.53	12.05	1.29	0.19	10.74	4.93	0.27	0.170849283992627
SRR15373178	78.02	12.6	1.75	0.04	4.35	2.93	0.31	0.161497052037939
SRR15373179	71.99	12.75	2.6	0.04	9.03	3.38	0.21	0.177107931657175
SRR15373180	71.23	13.89	0.83	0.05	10.57	3.1	0.33	0.195002105854275
SRR15373181	77.04	13.34	1.01	0.03	5	3.43	0.15	0.173156801661475
SRR15373182	76.08	14.3	1.38	0.04	4.3	3.66	0.24	0.187960042060988
SRR15373183	73.47	13.15	1.58	0.14	7.35	4.18	0.13	0.178984619572615
SRR15373184	72.41	17.24	1.31	0.06	4.52	3.98	0.48	0.238088661787046
SRR15373185	73.28	11.94	1.48	0.02	8.88	4.25	0.15	0.162936681222707
SRR15373186	74.68	14	1.59	0.06	6.06	3.43	0.18	0.187466523835029
SRR15373187	72.67	16.06	1.87	0.05	5.37	3.68	0.3	0.220999036741434
SRR15373189	77.99	10.42	1.17	0.1	6.44	3.64	0.24	0.133606872675984
SRR15373190	74.27	12.95	1.6	0	6.56	4.41	0.21	0.174363807728558
