"","path_ID","fc","auroc","p.val","p.adj","cohen.d"
"75","PWY-7242: D-fructuronate degradation",0.140890882498253,0.641643678680716,3.61652836019718e-11,4.31572496258544e-10,0.539982026726163
"76","PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)",0.0350777464259319,0.620728379987639,1.68453784528735e-08,1.48294561134312e-07,0.355416311060597
"77","PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0.113740489869987,0.593783445635298,1.17034200103151e-05,6.90630389619692e-05,0.303743413530162
"78","PWY-7456: mannan degradation",0.196376043787087,0.615708708301301,5.50427334779703e-08,4.47847695116213e-07,0.45930048835742
"79","PWY-7663: gondoate biosynthesis (anaerobic)",-0.111516020310062,0.375646301572228,6.20879303525612e-09,5.95378903559382e-08,-0.352004816293655
"80","PWY0-1296: purine ribonucleosides degradation",0.0675556020440985,0.695450639895084,6.63891436743746e-20,2.74238231947224e-18,0.592663220363407
"81","PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",-0.145336323718855,0.350630850630851,2.94098079223204e-12,3.76025401292525e-11,-0.485280122884528
"82","PWY490-3: nitrate reduction VI (assimilatory)",0.0188123080142304,0.589886793590497,5.87222480625915e-06,3.70986437760137e-05,0.14962071263595
"83","PWY66-400: glycolysis VI (metazoan)",-0.199489341873272,0.334859584859585,1.22124532708767e-14,2.26140945050372e-13,-0.545379776428895
"84","PWY66-422: D-galactose degradation V (Leloir pathway)",0.138694261380607,0.696189270263344,4.99864254678678e-20,2.23689253968709e-18,0.672611161495837
"85","PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I",-0.180807199289332,0.331238034941739,3.10862446895044e-15,6.18270866602365e-14,-0.55757612179248
"86","SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",0.142714884037447,0.688539170020652,1.30571425031341e-18,3.69036080220158e-17,0.635818859335526
"87","THRESYN-PWY: superpathway of L-threonine biosynthesis",0.0428685390647905,0.615377078340041,7.11019049118004e-08,5.69876461755773e-07,0.321292662528375
"88","TRNA-CHARGING-PWY: tRNA charging",0.126120091772744,0.754593828667903,1.33257435806605e-32,2.38530810093823e-30,0.816961120856189
"89","UNMAPPED",0.0695887148704501,0.694757231794269,9.42309265706194e-20,3.61442911203018e-18,0.607430600911691
"90","VALSYN-PWY: L-valine biosynthesis",0.0426433976918838,0.596338503745911,6.8203039569431e-06,4.20977382169936e-05,0.279458472664471
